||||From : 10/01/2015 To : 10/05/2015    By user : Super Admin
Code|Area|Bills|Sub-Total|Paid-Total|Collections|<=7|7<=14|14<=21|21<
002|Allakanda Baddegama Unavitiya|0|0|0|0|0|0|0|0
003|Hikkaduwa Kumarakanda|5|197204.2|10940.6|186263.6|0|0|0|5
004|Thagaswala Pitigala|0|0|0|0|0|0|0|0
005|Kottawa Ellakanda|0|0|0|0|0|0|0|0
006|Udugama Thawalama|0|0|0|0|0|0|0|0
007|Hikkaduwa Meetiyagoda|0|0|0|0|0|0|0|0
008|Aluthwala Meetiyagoda|0|0|0|0|0|0|0|0
009|Baddegama Batapola|0|0|0|0|0|0|0|0
010|Mapalagama Wanduramba|0|0|0|0|0|0|0|0
011|Baddegama  Hikkaduwa|0|0|0|0|0|0|0|0
012|Baddegama Nagoda|0|0|0|0|0|0|0|0
001|Wanduramba Talagaha|2|11703|0|11703|0|0|0|2
013|Makubura Udugama|0|0|0|0|0|0|0|0
014|Yatalamaththa Udugma|0|0|0|0|0|0|0|0
| Total|7|208907.2|10940.6|197966.6|0|0|0|7
