|Year : 2015|||||||By user : asiri
|Date|Expiery|Damage|Free|GR|Varience|Bill Tol|Cash|Credit|Cheque|Income|Expenses|Balance|
1|11/17/15|648|-|103.1|-|407.4|459|459|-|132125|263077|-|263077|
2|11/16/15|-|-|35671.52|-|4568.95|83406|60168|-|31124|104845|-|104845|
3|11/14/15|-|-|6326.36|-|10.98|705|26216|-|-|26216|-|26216|
4|11/13/15|-|-|3614.08|-|2.4|540|41589|-|-|41589|-|41589|
5|11/12/15|-|-|9436.66|-|-|1944|63849|-|5460|74769|-|74769|
6|11/02/15|-|-|14501.18|-|2.4|540|25977.6|-|-|25977.6|-|25977.6|
7|10/28/15|-|-|23219.16|-|9.6|960|19711|-|-|19711|-|19711|
8|08/03/15|-|-|8648.68|-|4|927.9|33453|-|-|33453|-|33453|
9|07/29/15|-|-|6450|-|33|18924|53322|-|-|53322|-|53322|
10|07/28/15|-|-|2774.44|-|-.56|322|26980|-|-|26980|-|26980|
11|07/27/15|-|-|1493.74|-|-.56|565|31309|-|-|31309|-|31309|
12|07/26/15|-|-|703.24|-|7.2|420|14222|-|-|14222|-|14222|
13|07/25/15|-|-|2675.5|-|-.56|322|44808|-|-|44808|-|44808|
14|07/24/15|-|-|3607.42|-|3373.1|4430|35347|-|-|35347|-|35347|
15|07/23/15|-|-|11996.84|-|18|1050|64694.5|-|-|64694.5|-|64694.5|
16|07/22/15|-|-|861.26|-|7.2|420|35349|-|-|35349|-|35349|
17|07/20/15|-|-|933.96|-|-.56|322|14883|-|-|14883|-|14883|
18|07/18/15|-|-|9237.08|-|-|486|64879|-|-|64879|-|64879|
19|07/17/15|-|-|16577.62|-|54.4|4366|77016|-|-|77016|-|77016|
20|07/16/15|-|-|1177.82|-|-|322.56|24243|-|-|24243|-|24243|
21|07/15/15|-|-|503.56|-|18.36|1413|13515|-|-|13515|-|13515|
22|07/14/15|-|-|1703.62|-|-|486|37742|-|-|37742|-|37742|
23|07/13/15|-|44.8|6865.94|-|5.4|585|39301|-|-|39301|-|39301|
24|07/12/15|-|-|3735.36|-|7.2|420|21706|-|-|21706|-|21706|
25|07/11/15|-|-|1491.9|-|-|2250|41749|-|-|41749|-|41749|
26|07/10/15|-|-|4423.04|-|-64.2|131|30251|-|-|30251|-|30251|
27|07/09/15|-|-|29655.94|-|7|2731|30918|-|-|30918|-|30918|
28|07/08/15|-|-|25167.94|-|3.6|390|48098|-|-|48098|-|48098|
29|07/07/15|-|-|836.04|-|7.2|420|14762|-|-|14762|-|14762|
30|07/06/15|-|13850.25|49881.86|-|-|1215|19157|-|-|19157|-|19157|
31|06/24/15|-|-|6247.16|-|7.2|780|45350|-|-|45350|-|45350|
32|06/22/15|-|-|11609|-|72|19044|-|-|-|-|-|-|
33|05/29/15|-|-|1827.62|-|-|939.9|-|-|-|-|-|-|
34|05/28/15|-|-|7927.12|-|-|4601.85|-|-|-|-|-|-|
35|05/27/15|-|-|2196.94|-|24|795|-|-|-|-|-|-|
36|05/26/15|483.84|-|972.96|-|-|486|27350|-|-|27350|-|27350|
37|05/02/15|-|-|233.9|-|2.4|1548|5149|-|-|5149|-|5149|
38|05/01/15|-|-|170.6|-|-|1256|-|-|-|-|-|-|

|Total|1131.84|13895.05|315460.16|0|8586.55|160923.21|1133523.1|0|168709|1451738.1|0|1451738.1|
